Mon Feb 26 04:47:53 UTC 2018
TimeStramp,ECG,SpO2,Respiration
04:47:55,-21452.3125,2299.625,-10093.625
04:47:55,-21134.25,2229.25,-9880.0
04:47:55,-20751.125,2361.9375,-9645.75
04:47:55,-20434.0625,2319.875,-9601.375
04:47:55,-20117.5625,2236.0625,-9486.875
04:47:55,-19801.625,2112.8125,-9704.625
04:47:55,-19486.0,1988.625,-10028.0
04:47:55,-19170.9375,1837.875,-10704.75
04:47:55,-18856.3125,1401.5,-11890.0
04:47:55,-18607.5625,832.75,-13933.125
04:47:55,-18359.125,-91.9375,-17723.25
04:47:55,-18110.9375,-1058.6875,-22009.625
04:47:55,-17928.625,-1769.3125,-25646.75
04:47:55,-17680.9375,-2359.625,-28314.75
04:47:55,-17564.4375,-2589.625,-29999.0
04:47:55,-17382.5625,-2733.5625,-30985.875
04:47:55,-17200.8125,-2757.875,-31381.0
04:47:55,-17084.625,-2685.125,-31257.5
04:47:55,-16968.4375,-2644.8125,-31079.125
04:47:55,-16852.125,-2618.375,-30723.75
04:47:55,-16801.3125,-2556.0,-30262.875
04:47:55,-16684.875,-2350.0625,-29810.0
04:47:55,-16633.75,-2255.25,-29318.75
04:47:55,-16647.75,-2171.6875,-28881.5
04:47:55,-16596.0625,-2089.25,-28364.5
04:47:55,-16609.5625,-2010.125,-27926.625
04:47:55,-16557.125,-1930.0625,-27496.125
04:47:55,-16569.75,-1847.25,-27030.625
04:47:55,-16647.5625,-1787.75,-26653.875
04:47:55,-16659.3125,-1706.1875,-26136.875
04:47:55,-16736.125,-1633.875,-25663.375
04:47:55,-16812.4375,-1504.0,-25215.5
04:47:55,-16888.0625,-1480.25,-24768.25
04:47:55,-16963.1875,-1430.75,-24381.0
04:47:55,-17103.125,-1314.375,-24005.25
04:47:55,-17177.0,-1351.1875,-23674.0
04:47:55,-17315.5625,-1203.0625,-23318.5
04:47:55,-17453.4375,-1160.0625,-23093.375
04:47:55,-17590.6875,-1156.1875,-22868.5
04:47:55,-17727.1875,-1131.1875,-22758.375
04:47:55,-17862.9375,-1044.0625,-22722.625
04:47:55,-18063.5625,-964.1875,-22678.75
04:47:55,-18197.9375,-989.8125,-22657.625
04:47:55,-18397.0625,-1065.4375,-22710.875
04:47:55,-18529.9375,-1082.8125,-22671.875
04:47:55,-18727.6875,-1073.0625,-22677.5
04:47:55,-18924.75,-1122.0,-22530.25
04:47:55,-19055.625,-1030.0,-22340.0
04:47:55,-19120.375,-1061.6875,-22200.5
04:47:55,-19315.5,-1005.5625,-21939.25
04:47:55,-19444.5625,-997.125,-21699.375
04:47:55,-19573.0625,-979.625,-21398.125
04:47:55,-19701.0625,-893.1875,-20917.0
04:47:55,-19828.4375,-878.8125,-20680.875
04:47:55,-19889.8125,-769.5,-20316.25
04:47:55,-20016.3125,-776.375,-19930.875
04:47:55,-20142.5,-697.75,-19579.125
04:47:55,-20268.125,-629.5,-19225.5
04:47:55,-20393.4375,-591.0,-18852.125
04:47:55,-20452.9375,-560.25,-18408.25
04:47:55,-20446.75,-539.4375,-18097.875
04:47:55,-20571.25,-431.75,-17773.75
04:47:55,-20630.0625,-347.125,-17342.0
04:47:55,-20623.0,-269.625,-17036.875
04:47:55,-20616.0625,-243.25,-16748.125
04:47:55,-20674.375,-166.75,-16399.625
04:47:55,-20667.1875,-114.3125,-16144.25
04:47:55,-20725.25,5.125,-15889.0
04:47:55,-20717.75,-32.125,-15666.0
04:47:55,-20710.1875,22.375,-15434.375
04:47:55,-20637.1875,66.4375,-15111.25
04:47:55,-20629.625,103.25,-14888.5
04:47:55,-20556.5625,146.75,-14647.625
04:47:55,-20549.125,104.3125,-14469.125
04:47:55,-20476.125,82.4375,-14243.625
04:47:55,-20403.25,79.25,-13978.75
04:47:55,-20330.4375,25.75,-13886.125
04:47:55,-20257.6875,65.5625,-13582.75
04:47:55,-20119.4375,-35.25,-13388.125
04:47:55,-20046.875,-22.25,-13215.125
04:47:55,-19909.0625,-62.875,-13109.125
04:47:55,-19836.75,-52.8125,-12920.5
04:47:55,-19764.5,-71.25,-12805.625
04:47:55,-19626.8125,-115.5625,-12633.875
04:47:55,-19489.4375,-166.125,-12536.75
04:47:55,-19417.5625,-167.5,-12451.125
04:47:55,-19280.25,-215.125,-12296.625
04:47:55,-19208.5625,-204.0625,-12097.375
04:47:55,-19071.5,-86.125,-11842.125
04:47:55,-18934.5625,-39.75,-11631.375
04:47:55,-18797.8125,34.3125,-11440.625
04:47:55,-18726.625,31.6875,-11161.25
04:47:55,-18590.0625,70.9375,-11021.5
04:47:55,-18453.5625,20.5,-10734.375
04:47:55,-18382.6875,35.875,-10732.875
04:47:55,-18246.4375,-84.125,-10815.625
04:47:55,-18175.75,-301.5625,-11230.125
04:47:55,-18039.6875,-410.5,-11815.125
04:47:55,-17969.1875,-766.5625,-13076.0
04:47:55,-17898.6875,-1274.8125,-15314.875
04:47:55,-17828.1875,-2220.6875,-19306.875
04:47:55,-17757.8125,-3367.5,-23762.375
04:47:55,-17622.0625,-4214.8125,-27366.625
04:47:55,-17551.75,-4877.5625,-30040.5
04:47:55,-17481.5625,-5328.0625,-31844.625
04:47:55,-17476.8125,-5525.75,-32801.75
04:47:55,-17406.5625,-5636.6875,-33320.75
04:47:55,-17401.875,-5707.8125,-33485.75
04:47:55,-17397.125,-5734.375,-33341.125
04:47:55,-17326.875,-5619.125,-33294.125
04:47:55,-17322.1875,-5621.0,-32970.375
04:47:55,-17382.9375,-5526.0625,-32610.0
04:47:56,-17378.0625,-5482.875,-32308.75
04:47:56,-17373.3125,-5392.5625,-31995.875
04:47:56,-17433.9375,-5343.9375,-31683.75
04:47:56,-17494.5625,-5220.1875,-31461.75
04:47:56,-17489.5625,-5110.125,-31148.125
04:47:56,-17550.0625,-5073.6875,-30761.375
04:47:56,-17610.5,-5008.1875,-30425.875
04:47:56,-17671.0,-4893.9375,-30029.25
04:47:56,-17796.875,-4881.8125,-29666.0
04:47:56,-17857.1875,-4735.0,-29268.375
04:47:56,-17982.9375,-4753.375,-28881.75
04:47:56,-18108.75,-4660.875,-28474.375
04:47:56,-18168.875,-4673.6875,-28238.625
04:47:56,-18294.5,-4593.8125,-27913.5
04:47:56,-18420.0625,-4619.1875,-27781.25
04:47:56,-18545.4375,-4591.6875,-27723.0
04:47:56,-18670.9375,-4584.625,-27648.375
04:47:56,-18796.3125,-4631.0,-27607.25
04:47:56,-18987.0625,-4756.8125,-27670.625
04:47:56,-19112.25,-4793.375,-27918.0
04:47:56,-19237.3125,-4820.375,-27959.875
04:47:56,-19427.9375,-4855.0625,-28146.0
04:47:56,-19552.875,-4931.375,-28226.75
