ECG,SpO2,Respiration
-21341.5625,-3878.9375,-18860.875
-21090.1875,-3831.6875,-18611.25
-20904.625,-3864.8125,-18366.5
-20653.9375,-3812.6875,-18048.875
-20338.3125,-3712.75,-17802.25
-20088.5625,-3683.8125,-17487.625
-19904.75,-3671.75,-17267.375
-19655.8125,-3605.5,-17027.875
-19341.75,-3524.75,-16706.5
-19093.625,-3417.1875,-16427.375
-18714.9375,-3338.8125,-16126.75
-18467.6875,-3256.75,-15883.0
-18221.0,-3199.5,-15690.75
-17909.1875,-3119.375,-15427.875
-17597.875,-3045.25,-15229.5
-17287.125,-3016.125,-15129.5
-16976.875,-3009.0,-14910.5
-16667.1875,-2928.875,-14731.625
-16357.9375,-2955.75,-14506.5
-16049.25,-2891.375,-14301.875
-15741.0625,-2872.0,-14195.0
-15433.4375,-2969.375,-14052.375
-15126.3125,-2913.625,-13900.125
-14885.1875,-2949.75,-13828.375
-14579.0625,-2867.6875,-13503.0
-14273.5,-2823.6875,-13265.375
-13968.5,-2885.4375,-12959.25
-13729.5625,-2727.375,-12767.75
-13491.125,-2807.25,-12610.0
-13253.1875,-2820.0,-12453.125
-12950.25,-2809.6875,-12609.5
-12713.3125,-3009.3125,-12924.125
-12476.9375,-3146.8125,-13761.125
-12241.0,-3566.875,-15374.75
-12005.625,-4081.4375,-17658.75
-11836.1875,-4625.375,-20293.25
-11667.125,-5138.9375,-22740.0
-11433.0625,-5594.0,-24817.75
-11264.875,-5858.75,-26294.125
-11162.625,-6067.1875,-27344.125
-10995.25,-6124.5625,-27995.875
-10893.6875,-6129.8125,-28268.25
-10792.5625,-6137.125,-28353.75
-10691.625,-6126.375,-28243.625
-10591.125,-6008.5,-28093.375
-10490.875,-5970.6875,-27859.0
-10456.4375,-5965.6875,-27475.0
-10356.6875,-5868.5625,-27183.25
-10322.8125,-5804.4375,-26915.0
-10289.0625,-5733.1875,-26622.125
-10255.6875,-5704.0,-26395.75
-10222.4375,-5625.75,-26172.25
-10254.9375,-5625.5,-25920.125
-10222.0625,-5478.375,-25483.875
-10254.875,-5473.125,-25172.625
-10287.9375,-5374.875,-24855.25
-10321.125,-5328.8125,-24463.125
-10354.3125,-5183.6875,-24085.5
-10387.6875,-5090.6875,-23650.75
-10421.1875,-5008.6875,-23608.0
-10454.8125,-4890.875,-23356.5
-10619.5,-4809.0,-23114.125
-10587.6875,-4670.25,-23023.125
-10687.0,-4592.5625,-22912.375
-10851.875,-4697.5625,-23047.875
-10951.3125,-4719.5625,-23067.5
-10919.8125,-4728.4375,-23230.875
-11019.375,-4747.375,-23188.125
-11119.1875,-4719.25,-23327.125
-11153.5,-4757.0,-23285.0
-11318.8125,-4841.5,-23233.125
-11353.25,-4887.75,-23243.375
-11453.1875,-4839.0,-23096.0
-11487.6875,-4810.25,-22969.75
-11522.25,-4783.5,-22858.875
-11556.9375,-4804.5,-22611.75
-11591.6875,-4715.625,-22206.875
-11626.5,-4704.75,-22041.875
-11661.4375,-4599.875,-21618.875
-11696.4375,-4516.8125,-21327.75
-11731.5625,-4444.0625,-21039.875
-11766.625,-4322.1875,-20717.125
-11801.875,-4332.3125,-20444.75
-11837.1875,-4262.3125,-20108.625
-11807.0625,-4186.4375,-19937.375
-11711.75,-4083.6875,-19577.75
-11747.5,-3988.9375,-19324.75
-11717.9375,-3859.1875,-18874.125
-11688.5,-3804.5625,-18596.625
-11593.75,-3651.0625,-18197.375
-11499.125,-3654.4375,-17875.0
-11535.6875,-3540.75,-17498.375
-11441.375,-3518.25,-17223.25
-11281.875,-3505.6875,-16908.625
-11319.0625,-3416.1875,-16607.5
-11225.3125,-3365.75,-16332.5
